date,tweet_count,daily_sent,elonmusk,michael_saylor,apompliano,justinsuntron,jack,cz_binance,snowden,therealkiyosaki,pulte,profdemirtas
2021-06-05,485,0.22566536082474253,59,177,59,0,0,0,0,0,0,0
2021-06-04,1239,0.09974761904761989,59,118,236,177,59,0,0,0,0,0
2021-06-03,354,-0.05163333333333317,0,59,59,0,0,0,0,0,0,0
2021-06-02,439,0.2377740318906604,0,59,0,0,0,0,0,0,0,0
2021-06-01,354,0.31851666666666556,0,118,59,0,0,0,0,0,0,0
2021-05-31,354,0.3041000000000004,0,118,0,0,0,0,0,0,0,0
2021-05-30,531,0.16863333333333333,0,59,118,0,0,0,0,59,0,0
2021-05-29,472,0.174925,0,118,59,0,0,0,0,0,0,0
2021-05-28,177,0.20399999999999982,0,59,0,0,0,0,59,0,0,0
2021-05-27,177,0.29263333333333297,0,0,0,0,0,0,0,0,0,59
2021-05-26,356,0.19023567415730303,0,59,59,0,0,0,0,0,0,0
2021-05-25,180,0.4589666666666669,0,60,120,0,0,0,0,0,0,0
2021-05-24,600,0.4060000000000012,60,180,180,0,0,60,0,0,0,0
2021-05-23,297,0.002220875420875397,0,0,60,0,0,59,0,0,0,0
2021-05-22,638,-0.0032000000000000075,0,174,0,0,0,0,0,0,58,58
2021-05-21,696,0.26099166666666557,0,174,116,0,0,0,0,0,0,0
2021-05-20,696,0.3500916666666648,58,58,58,0,0,0,0,0,232,0
2021-05-19,638,0.08435454545454543,0,58,116,58,0,0,0,0,0,0
2021-05-18,406,-0.03751428571428586,0,116,174,0,0,0,0,0,0,0
2021-05-17,406,-0.04177142857142861,58,58,116,0,0,0,0,0,0,0
2021-05-16,821,0.059302314250913715,118,235,176,0,0,0,0,0,0,0
2021-05-15,236,-0.03977499999999997,0,118,59,0,0,0,0,0,0,0
2021-05-14,354,0.5153000000000006,0,0,0,0,59,0,0,59,0,0
2021-05-13,1062,0.015199999999999991,59,236,236,0,0,0,0,0,0,0
2021-05-11,236,0.3378999999999993,0,0,59,0,0,0,0,0,0,0
2021-05-10,354,0.32623333333333393,0,59,59,0,0,0,0,0,0,0
2021-05-09,59,-0.19260000000000008,0,0,0,0,0,0,0,0,0,0
