date,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,Ignore,tweet_count,daily_sent,elonmusk,coinmarketcap,benzinga,iohk_charles,jonerlichman,uniswap,billym2k,gerberkawasaki,investvoyager,excellion,Ethereum_pytrend_unscaled,Ethereum_pytrend_monthly,MA_10,ADX_2_7,RSI_10,MACD_5_10,MACDsign_5_10,MACDdiff_5_10,Mass Index,vix,gvz
2020-03-23,2705.1,2910.0,2643.0,2884.94,1583799.59251,1622073599999,4416389128.58148,2726537,786524.11588,2193352742.2343354,0,0,0.0,0,0,0,0,0,0,0,0,0,0,46.0,46.0,2692.584,0.7407500650594087,0.3989050130896013,-86.48455569257294,-198.93510028574343,112.45054459317048,0.0,61.59000015258789,41.15999984741211
2020-03-24,2884.82,2889.74,2633.68,2742.23,1099029.91206,1622159999999,3033719144.340213,1732113,540641.23243,1493018236.9716177,0,0,0.0,0,0,0,0,0,0,0,0,0,0,40.0,39.0,2638.556,0.7696811200445646,0.394925136406917,-61.997244069254975,-168.25307126160592,106.25582719235096,0.0,61.66999816894531,40.40999984741211
2020-03-25,2742.23,2762.45,2327.38,2412.1,1554584.61362,1622246399999,3934662309.044423,2184249,763125.86389,1931909198.769052,0,0,0.0,0,0,0,0,0,0,0,0,0,0,40.0,40.0,2542.259,0.8102905713008512,0.2819368866593871,-93.8348420096404,-151.97078792228066,58.13594591264027,0.0,63.95000076293945,40.560001373291016
2020-03-26,2412.34,2574.27,2204.1,2278.74,1379427.18851,1622332799999,3288804154.831871,1887733,681047.48538,1625990815.6297283,0,0,0.0,0,0,0,0,0,0,0,0,0,0,37.0,37.0,2526.241,0.8446487996076564,0.2471528533894685,-125.35658480176107,-146.2551732485751,20.898588446814017,0.0,61.0,37.47999954223633
2020-03-27,2278.74,2476.42,2180.53,2385.98,1151113.19883,1622419199999,2726606138.6317167,1519005,577190.77662,1368058965.0840323,0,0,0.0,0,0,0,0,0,0,0,0,0,0,37.0,37.0,2487.977,0.8238439599075668,0.2402270977370656,-118.93168970360556,-140.47257482955777,21.5408851259522,0.0,65.54000091552734,34.88999938964844
2020-03-30,2385.82,2720.0,2271.44,2706.15,1307958.04068,1622505599999,3277131772.1340704,1849177,661801.72603,1660383324.5955362,0,0,0.0,0,0,0,0,0,0,0,0,0,0,36.0,39.0,2515.494,0.8188735147382333,0.4388443926438958,-60.27948489754226,-123.6961205824529,63.416635684910645,0.0,57.08000183105469,30.420000076293945
2020-03-31,2706.15,2740.0,2523.74,2634.57,1179577.10806,1622591999999,3081355010.953452,1790186,575201.66943,1503196035.623285,0,0,0.0,0,0,0,0,0,0,0,0,0,0,100.0,34.0,2549.464,0.8459037615315887,0.4531896561186696,-35.37742896606096,-105.38823064754328,70.0108016814823,0.0,53.540000915527344,29.190000534057617
2020-04-01,2634.31,2802.99,2550.0,2706.22,970070.53563,1622678399999,2616566301.6287875,1349232,481481.7217,1299176997.0039196,0,4,0.644725,0,0,0,0,1,0,0,0,0,0,91.0,33.0,2610.447,0.8794589099296566,0.5021778293341077,-8.880999024343055,-85.52776182291575,76.6467627985727,0.0,57.060001373291016,30.260000228881836
2020-04-02,2706.21,2891.95,2662.4,2857.25,1024290.89423,1622764799999,2874856613.490244,1620340,500895.12021,1405843557.4623542,0,37,0.2888378378378379,0,6,0,0,0,0,2,0,2,0,100.0,31.0,2631.329,0.7758987060001761,0.5688515503840951,28.84405618537949,-62.12644746821772,90.9705036535972,0.0,50.90999984741211,31.90999984741211
2020-04-03,2857.25,2860.0,2552.0,2689.51,1188314.11191,1622851199999,3175186750.490876,1775946,580744.67311,1551953930.2872362,0,88,0.2139284090909091,0,15,5,4,0,3,0,3,0,3,0.0,0.0,2629.769,0.698262668237807,0.4728040397914901,22.391894699584554,-44.91268342941407,67.30457812899863,0.0,46.79999923706055,31.850000381469727
2020-04-06,2689.54,2816.87,2582.07,2601.73,812881.10439,1622937599999,2189442494.566428,1396047,413578.50875,1113888741.9675467,0,33,0.0255272727272727,3,6,0,0,0,0,3,0,0,0,0.0,0.0,2601.448,0.698262668237807,0.4728040397914902,4.273227776226577,-34.931659473831104,39.20488725005768,0.0,45.2400016784668,35.7599983215332
