date,Binance Coin_pytrend_unscaled,Binance Coin_pytrend_monthly
2021-05-01,22,16
2021-05-02,24,23
2021-05-03,23,22
2021-05-04,26,24
2021-05-05,33,40
2021-05-06,19,25
2021-05-07,34,27
2021-05-08,41,31
2021-05-09,44,50
2021-05-10,64,72
2021-05-11,100,100
2021-05-12,63,100
2021-05-13,32,41
2021-05-14,31,38
2021-05-15,35,46
2021-05-16,35,44
2021-05-17,22,22
2021-05-18,30,38
2021-05-19,20,20
2021-05-20,20,21
2021-05-21,20,19
2021-05-22,16,14
2021-05-23,6,8
2021-05-24,11,10
2021-05-25,16,19
2021-05-26,7,19
2021-05-27,11,13
2021-05-28,6,14
2021-05-29,8,10
2021-05-30,9,12
2021-05-31,7,10
2021-06-01,58,18
2021-06-02,100,14
2021-06-03,75,10
