date,Ethereum_pytrend_unscaled,Ethereum_pytrend_monthly
2021-05-01,41,41
2021-05-02,45,43
2021-05-03,85,91
2021-05-04,89,90
2021-05-05,91,83
2021-05-06,90,90
2021-05-07,69,69
2021-05-08,73,68
2021-05-09,80,82
2021-05-10,100,100
2021-05-11,77,73
2021-05-12,75,74
2021-05-13,87,76
2021-05-14,58,60
2021-05-15,45,47
2021-05-16,57,51
2021-05-17,61,54
2021-05-18,46,50
2021-05-19,99,95
2021-05-20,64,65
2021-05-21,55,58
2021-05-22,50,50
2021-05-23,66,67
2021-05-24,65,57
2021-05-25,49,53
2021-05-26,46,46
2021-05-27,40,39
2021-05-28,40,40
2021-05-29,37,37
2021-05-30,37,37
2021-05-31,36,39
2021-06-01,100,34
2021-06-02,91,33
2021-06-03,100,31
