date,USD Coin_pytrend_unscaled,USD Coin_pytrend_monthly
2021-05-01,43,36
2021-05-02,66,60
2021-05-03,37,21
2021-05-04,55,60
2021-05-05,63,52
2021-05-06,84,80
2021-05-07,65,76
2021-05-08,79,65
2021-05-09,95,79
2021-05-10,58,38
2021-05-11,45,100
2021-05-12,100,73
2021-05-13,90,42
2021-05-14,80,60
2021-05-15,67,99
2021-05-16,96,73
2021-05-17,77,73
2021-05-18,39,43
2021-05-19,75,67
2021-05-20,53,59
2021-05-21,59,64
2021-05-22,52,25
2021-05-23,7,6
2021-05-24,58,37
2021-05-25,46,43
2021-05-26,25,52
2021-05-27,26,27
2021-05-28,27,11
2021-05-29,29,24
2021-05-30,15,12
2021-05-31,22,12
2021-06-01,53,38
2021-06-02,100,42
2021-06-03,52,21
